timestamp,actual,sarimax,sarimax_lower_95,sarimax_upper_95,temp_mean,holiday_days
2018-10-04,55.34957142857142,58.10692035574575,56.17143018412292,60.04241052736858,12.042857142857144,0
2018-10-11,55.534375,57.664617639285055,55.50333669354867,59.82589858502144,15.914285714285716,0
2018-10-18,57.60732142857143,59.254178222446725,57.0142653877181,61.49409105717535,9.55714285714286,0
2018-10-25,58.10247023809524,57.86231255430148,55.578620621604394,60.14600448699857,8.871428571428572,0
2018-11-01,55.83925595238096,59.48055554918313,57.16379100396164,61.79732009440462,9.657142857142857,0
2018-11-08,58.57626785714286,60.8370192445463,58.49105520881079,63.1829832802818,9.157142857142857,0
2018-11-15,61.157553571428565,62.572942869515494,60.19938116142563,64.94650457760537,3.257142857142857,0
2018-11-22,61.53547023809524,63.5304196844118,61.13004176318883,65.93079760563477,1.4,0
2018-11-29,62.25420833333334,63.9188374430495,61.49211469837566,66.34556018772334,3.8428571428571434,0
2018-12-06,62.83096428571429,64.21561621641271,61.762897896472296,66.66833453635313,5.385714285714285,0
2018-12-13,62.56505357142857,63.07820695599787,60.59979084994197,65.55662306205377,0.5,0
2018-12-20,51.66849404761905,52.76336697383152,50.259526356560045,55.267207591103,4.714285714285714,2
2018-12-27,50.724297619047626,53.44092123121708,50.91191532913736,55.96992713329681,5.128571428571428,1
2019-01-03,60.180416666666666,60.95345318325085,58.3995313135449,63.5073750529568,2.414285714285714,0
2019-01-10,62.74117857142857,62.75014213348148,60.171545561013396,65.32873870594956,3.385714285714286,0
2019-01-17,62.816452380952384,63.64277667651311,61.03973948582791,66.24581386719831,-1.6428571428571428,0
2019-01-24,62.92402380952382,63.365984262848684,60.738733884249264,65.99323464144811,-0.4142857142857143,0
2019-01-31,62.08240476190477,62.363687714782074,59.712445301230794,65.01493012833336,0.8571428571428571,0
2019-02-07,62.34997619047619,62.024096886730106,59.349077623136694,64.69911615032352,4.771428571428571,0
2019-02-14,59.74879166666667,61.894919086199764,59.196332462912444,64.59350570948709,5.257142857142857,0
2019-02-21,58.74913690476191,62.504055463245386,59.78210552660343,65.22600539988734,4.114285714285715,0
2019-02-28,58.744172619047625,61.454908944575145,58.70979453011256,64.20002335903773,6.614285714285714,0
2019-03-07,59.49458928571429,60.58525212703107,57.81716707809714,63.353337175964995,6.3,0
2019-03-14,59.63257142857143,62.384574011034694,59.59370738446722,65.17544063760216,6.114285714285714,0
2019-03-21,57.19169047619047,60.00843863931204,57.19497489931845,62.82190237930563,7.385714285714285,0
2019-03-28,56.23338095238096,58.13784762341741,55.30196682459,60.97372842224482,8.514285714285714,0
2019-04-04,56.36203571428572,58.33346225659104,55.47534021685413,61.19158429632795,10.642857142857142,0
2019-04-11,56.58204166666666,58.096118654267336,55.21592711846779,60.97631019006688,5.885714285714286,0
2019-04-18,48.69788095238095,52.476944960769075,49.574851755555166,55.37903816598298,13.828571428571427,2
2019-04-25,52.80792857142857,54.50091002550529,51.577079206082836,57.42474084492775,13.514285714285714,1
2019-05-02,55.879869047619046,58.196778243681614,55.2513702329877,61.142186254375524,8.428571428571429,0
2019-05-09,55.50689285714285,57.92937366686455,54.96254538765544,60.89620194607366,10.55714285714286,0
2019-05-16,55.45182142857144,57.157408901372726,54.16931390168315,60.145503901062305,15.285714285714286,0
2019-05-23,54.2165,58.46885801373094,55.45964658612656,61.478069441335315,15.171428571428573,0
2019-05-30,52.01179761904762,53.01577603820582,49.985595333218136,56.04595674319351,22.61428571428572,1
2019-06-06,51.95232142857143,55.365677798562174,52.31467193266572,58.41668366445863,21.571428571428573,1
2019-06-13,54.66170833333333,56.98010031830697,53.90841047677194,60.05179015984199,22.62857142857143,0
2019-06-20,53.20418452380952,56.3288775742932,53.23664210922196,59.42111303936444,23.74285714285714,0
2019-06-27,55.50452976190476,57.08411366716414,53.971468190997726,60.19675914333055,21.2,0
2019-07-04,54.44921428571429,57.40146220711099,54.26853968187131,60.53438473235067,16.428571428571427,0
2019-07-11,53.64996428571428,55.66473351777139,52.51166434028589,58.81780269525689,18.02857142857143,0
2019-07-18,53.69526785714286,55.62033843091394,52.447250514252325,58.793426347575554,22.47142857142857,0
2019-07-25,54.00720833333333,56.551813463863674,53.35883231520043,59.74479461252692,24.985714285714288,0
2019-08-01,51.43482142857143,57.225205458625446,54.01245425372741,60.43795666352348,19.8,0
2019-08-08,51.950178571428566,54.85833387223323,51.62593352675796,58.0907342177085,20.457142857142856,0
2019-08-15,51.43144642857143,56.00426059884184,52.75232983662018,59.2561913610635,19.214285714285715,0
2019-08-22,53.17341071428572,55.66839912281955,52.39705454128455,58.939743704354555,23.52857142857143,0
2019-08-29,52.932648809523805,55.48894155424784,52.198297687161435,58.77958542133424,21.65714285714285,0
2019-09-05,52.8212380952381,57.43381822559513,54.12398760321455,60.74364884797571,15.528571428571428,0
2019-09-12,53.470482142857136,57.34480850471341,54.01590171152993,60.6737152978969,14.6,0
2019-09-19,53.87153571428571,58.03060932383711,54.68273505401185,61.378483593662374,14.185714285714289,0
2019-09-26,55.04417261904762,58.21362456472405,54.84688967533745,61.58035945411065,14.014285714285714,0
2019-10-03,52.514744047619054,57.869148105224895,53.991850859071235,61.746445351378554,8.685714285714285,1
2019-10-10,56.06342261904762,59.35405397840679,55.31413702758788,63.393970929225695,14.857142857142858,0
2019-10-17,56.2455119047619,60.215890068853824,56.091142190280806,64.34063794742684,13.271428571428572,0
2019-10-24,56.78088690476191,59.22609799547815,55.03962888699164,63.412567103964655,10.142857142857142,0
2019-10-31,55.05027380952381,61.36740336049037,57.12738689465314,65.6074198263276,7.1000000000000005,0
2019-11-07,59.14056547619048,62.94933169312913,58.659073446617775,67.2395899396405,5.271428571428571,0
2019-11-14,59.159779761904765,63.66830119080044,59.32936555084632,68.00723683075456,6.0,0
2019-11-21,59.912059523809525,64.30304190860222,59.91633925561122,68.68974456159323,6.471428571428571,0
2019-11-28,59.80317857142857,65.46596987862742,61.0321549351514,69.89978482210344,3.8428571428571434,0
2019-12-05,61.689059523809526,65.97074508960273,61.49036636759392,70.45112381161154,4.314285714285714,0
2019-12-12,59.74446428571429,63.96269247713384,59.43624912283016,68.48913583143752,4.871428571428572,0
2019-12-19,50.65291071428572,56.46968182029093,51.8976455797964,61.04171806078546,5.342857142857143,1
2019-12-26,46.57266071428572,53.04559825760659,48.42842222823326,57.662774286979925,2.2857142857142856,2
2020-01-02,56.21391666666667,62.35996896319216,57.69809131708855,67.02184660929576,2.857142857142857,0
2020-01-09,60.41160714285714,63.68927638317706,58.983122121346796,68.39543064500732,6.857142857142857,0
2020-01-16,60.31816071428571,64.25055770317724,59.500539685410864,69.0005757209436,3.8,0
2020-01-23,61.279678571428576,64.40753202689682,59.614051681616736,69.2010123721769,2.4,0
2020-01-30,60.40735119047618,62.96610216333562,58.12955005992304,67.80265426674819,6.642857142857143,0
2020-02-06,60.568398809523806,63.416660512167574,58.53741686259355,68.29590416174159,5.4,0
2020-02-13,60.228547619047625,63.19775627884569,58.276191395399024,68.11932116229235,6.471428571428571,0
2020-02-20,59.077958333333335,63.80855323111419,58.84502795169286,68.77207851053552,5.771428571428571,0
2020-02-27,58.95033928571428,63.306193224126396,58.30105931062265,68.31132713763014,4.6571428571428575,0
2020-03-05,58.91609523809524,62.204867330428605,57.158467843378055,67.25126681747915,5.914285714285714,0
2020-03-12,56.96972023809524,63.843744318170494,58.75641396984512,68.93107466649586,7.085714285714286,0
2020-03-19,54.4246011904762,62.21330134679254,57.085366834456394,67.34123585912869,3.442857142857143,0
2020-03-26,53.30305357142858,60.45230766565417,55.2840879864494,65.62052734485893,3.6714285714285713,0
2020-04-02,51.200857142857146,60.14815270159821,54.93995945036505,65.35634595283136,9.028571428571428,0
2020-04-09,45.27698214285714,54.58088568165453,49.33302333286465,59.82874803044441,8.957142857142857,2
2020-04-16,49.765482142857145,59.11006946989521,53.8228356447749,64.39730329501552,10.4,0
2020-04-23,50.07677976190476,58.345899571755716,53.019585291585614,63.67221385192582,13.228571428571428,0
2020-04-30,48.23919047619048,57.09597401156793,51.73086393806611,62.46108408506976,10.714285714285714,1
2020-05-07,50.1552380952381,59.329330709879706,53.92570337350304,64.73295804625637,11.62857142857143,0
2020-05-14,50.059333333333335,59.15288034235619,53.71100835928975,64.59475232542263,12.5,0
2020-05-21,47.76384523809524,57.93140842339518,52.45155870194024,63.41125814485012,14.228571428571428,1
2020-05-28,47.621232142857146,55.611245672869764,50.09367960988728,61.128811735852246,15.914285714285716,1
2020-06-04,50.509142857142855,60.170204107374346,54.61517777539155,65.72523043935715,15.828571428571427,0
2020-06-11,48.34847619047619,58.94180603391372,53.34957035945681,64.53404170837062,20.47142857142857,0
2020-06-18,49.93173214285715,58.61730890043082,52.98810983410578,64.24650796675586,18.8,0
2020-06-25,51.03688690476191,58.58109308067034,52.91517175947632,64.24701440186436,21.74285714285714,0
2020-07-02,51.615029761904765,58.57333803616186,52.870930938487476,64.27574513383624,18.61428571428572,0
2020-07-09,50.864625,57.336035167543855,51.59737426126498,63.07469607382273,16.985714285714288,0
2020-07-16,50.6185,57.77965970377305,52.00497258784203,63.554346819704065,18.542857142857144,0
2020-07-23,50.42470238095238,58.918397048122465,53.10790708801188,64.72888700823304,20.142857142857142,0
2020-07-30,49.11565476190477,58.83153247029995,52.9854589276397,64.6776060129602,19.942857142857143,0
2020-08-06,51.43091666666667,55.523055170673445,49.641613327397394,61.404497013949495,26.3,0
2020-08-13,51.5311130952381,56.87231851315004,50.95571979044756,62.78891723585252,23.857142857142858,0
2020-08-20,52.26697023809524,57.53330273875583,51.581754811104496,63.48485066640716,21.65714285714285,0
2020-08-27,51.34003571428572,57.88368452709206,51.89739143162996,63.86997762255415,16.45714285714286,0
2020-09-03,51.67822023809524,58.84318537360433,52.82234761508406,64.8640231321246,16.485714285714288,0
2020-09-10,51.62555952380952,58.29436038515725,52.239175036708396,64.34954573360609,18.585714285714285,0
2020-09-17,52.42595833333333,59.37648174761224,53.287142547525264,65.46582094769921,15.714285714285714,0
2020-09-24,54.16725,59.951638801779474,53.82833624651061,66.07494135704835,12.928571428571429,0
