p,d,q,P,D,Q,seasonal_period,aic,bic,log_likelihood,converged,status,error
6,1,4,1,0,1,52,418.62131221766924,456.5810642534349,-196.31065610883462,True,success,
6,1,5,1,0,1,52,3433.978148533333,3474.8578814949265,-1702.9890742666664,True,success,
2,0,1,1,0,1,52,3631.2283336584496,3648.963296004057,-1809.6141668292248,True,success,
2,2,1,1,0,1,52,3799.0437639550155,3816.6936184906713,-1893.5218819775077,True,success,
3,2,3,1,0,1,52,3964.3364574013467,3990.6817405677616,-1973.1682287006734,True,success,
1,2,4,1,0,1,52,4312.1776135345435,4335.537460941168,-2148.0888067672718,True,success,
5,1,4,1,0,1,52,4347.680976322649,4382.808020544536,-2161.8404881613246,True,success,
2,2,4,1,0,1,52,4360.36055027313,4386.640378605583,-2171.180275136565,True,success,
5,2,6,1,0,1,52,4472.682221716386,4513.356068614525,-2222.341110858193,True,success,
4,2,3,1,0,1,52,4491.674980213513,4520.947517065085,-2235.8374901067564,True,success,
3,2,5,1,0,1,52,4590.289786411733,4622.32899015483,-2284.1448932058665,True,success,
5,0,6,1,0,1,52,4590.730342772005,4631.610075733599,-2281.3651713860027,True,success,
2,2,5,1,0,1,52,4591.977044313049,4621.10359317041,-2285.9885221565246,True,success,
4,2,4,1,0,1,52,4605.194615421464,4637.3144056055735,-2291.597307710732,True,success,
4,2,0,1,0,1,52,4658.891760108181,4679.382535904281,-2322.4458800540906,True,success,
4,0,6,1,0,1,52,4671.0822911526975,4709.042043188463,-2322.5411455763488,True,success,
0,2,2,1,0,1,52,4688.5504451011675,4703.222814766821,-2339.2752225505837,True,success,
3,2,0,1,0,1,52,4690.55039604832,4708.157239647105,-2339.27519802416,True,success,
3,2,1,1,0,1,52,4692.550396067649,4713.091713599563,-2339.2751980338244,True,success,
6,0,5,1,0,1,52,4700.2255846542585,4741.207136246459,-2336.1127923271292,True,success,
4,0,5,1,0,1,52,4874.152960528963,4909.28000475085,-2425.0764802644817,True,success,
2,0,5,1,0,1,52,5030.501768199916,5059.774305051488,-2505.250884099958,True,success,
2,0,3,1,0,1,52,5099.117735863958,5122.650875244833,-2541.558867931979,True,success,
1,0,2,1,0,1,52,5131.425719682889,5149.118279025159,-2559.7128598414447,True,success,
5,1,1,1,0,1,52,5467.466438558489,5493.811721724904,-2724.7332192792446,True,success,
4,1,4,1,0,1,52,5521.626163929715,5553.825954466444,-2749.8130819648577,True,success,
3,1,1,1,0,1,52,5531.702818088813,5552.294315047078,-2758.8514090444064,True,success,
3,1,2,1,0,1,52,6834.2820989245265,6857.815238305401,-3409.1410494622633,True,success,
0,0,6,1,0,1,52,8127.208100309645,8153.487928642097,-4054.6040501548223,True,success,
0,0,5,1,0,1,52,8832.008891016692,8855.42692049795,-4408.004445508346,True,success,
0,2,5,1,0,1,52,395.5557380804706,418.856977166359,-189.7778690402353,False,not_converged,
6,1,3,1,0,1,52,417.4236340496901,452.46340515962765,-196.71181702484506,False,not_converged,
0,2,3,1,0,1,52,432.9569584696261,450.5204805805693,-210.47847923481305,False,not_converged,
5,2,2,1,0,1,52,548.7454791335169,577.9452883917982,-264.37273956675847,False,not_converged,
1,1,1,1,0,1,52,1567.3083665425233,1582.0521659944143,-778.6541832712617,False,not_converged,
4,0,2,1,0,1,52,1701.4376085916515,1727.9123903951352,-841.7188042958257,False,not_converged,
5,0,2,1,0,1,52,2744.9162000023257,2774.2609393336325,-1362.4581000011628,False,not_converged,
2,1,4,1,0,1,52,2832.787155502771,2859.132438669186,-1407.3935777513855,False,not_converged,
4,0,0,1,0,1,52,3035.453065928772,3056.044562887037,-1510.726532964386,False,not_converged,
2,0,4,1,0,1,52,3149.822198713364,3176.23246411154,-1565.911099356682,False,not_converged,
4,2,6,1,0,1,52,3813.174812493995,3850.9433846136944,-1893.5874062469975,False,not_converged,
6,0,6,1,0,1,52,3864.872239811488,3908.67195369891,-1917.436119905744,False,not_converged,
1,1,4,1,0,1,52,4012.359939486731,4035.7779689679887,-1998.1799697433655,False,not_converged,
5,2,3,1,0,1,52,4137.688597920719,4169.808388104829,-2057.8442989603595,False,not_converged,
2,0,6,1,0,1,52,4154.002098587991,4186.121888772101,-2066.0010492939955,False,not_converged,
6,0,0,1,0,1,52,4279.137941833167,4305.483224999582,-2130.5689709165836,False,not_converged,
6,2,4,1,0,1,52,4295.096239142613,4332.960752657182,-2134.5481195713064,False,not_converged,
3,2,6,1,0,1,52,4308.999108148974,4343.862405490236,-2142.499554074487,False,not_converged,
6,2,6,1,0,1,52,4411.216117621574,4454.795239298151,-2190.608058810787,False,not_converged,
1,0,1,1,0,1,52,4420.317538446385,4435.0966737343915,-2205.1587692231924,False,not_converged,
0,0,0,1,0,1,52,4428.377086333714,4437.265620224493,-2211.188543166857,False,not_converged,
3,0,4,1,0,1,52,4486.127068035761,4515.471807367068,-2233.0635340178806,False,not_converged,
3,0,5,1,0,1,52,4510.607667522969,4542.807458059698,-2244.3038337614844,False,not_converged,
4,2,1,1,0,1,52,4512.656188385879,4536.074217867137,-2248.3280941929397,False,not_converged,
6,2,2,1,0,1,52,4527.239222647475,4559.278426390571,-2252.6196113237374,False,not_converged,
4,0,1,1,0,1,52,4528.1149878723245,4551.648127253199,-2256.0574939361622,False,not_converged,
5,2,4,1,0,1,52,4564.793993148245,4599.833764258183,-2270.3969965741226,False,not_converged,
6,2,1,1,0,1,52,4567.553991183959,4596.68054004132,-2273.7769955919794,False,not_converged,
6,2,0,1,0,1,52,4597.652279174091,4623.866173145715,-2289.8261395870454,False,not_converged,
1,2,1,1,0,1,52,4614.180569830754,4628.8887819438005,-2302.090284915377,False,not_converged,
3,2,4,1,0,1,52,4623.6626306695325,4652.862439927814,-2301.8313153347663,False,not_converged,
1,2,3,1,0,1,52,4640.680013788491,4661.170789584591,-2313.3400068942456,False,not_converged,
6,2,3,1,0,1,52,4640.891293748865,4675.843152377697,-2308.4456468744324,False,not_converged,
6,0,2,1,0,1,52,4663.685595490711,4695.88538602744,-2320.8427977453557,False,not_converged,
1,2,2,1,0,1,52,4664.913485676634,4682.520329275419,-2326.456742838317,False,not_converged,
1,2,0,1,0,1,52,4666.659328952319,4678.4543685138315,-2329.3296644761595,False,not_converged,
5,1,5,1,0,1,52,4684.367564704627,4722.327316740392,-2329.1837823523133,False,not_converged,
5,0,5,1,0,1,52,4696.162690894748,4734.216988801792,-2335.081345447374,False,not_converged,
4,0,3,1,0,1,52,4697.301071767204,4726.717495993297,-2338.650535883602,False,not_converged,
5,1,3,1,0,1,52,4731.084608297194,4763.284398833923,-2354.542304148597,False,not_converged,
2,2,3,1,0,1,52,4762.0049308700345,4785.422960351292,-2373.0024654350173,False,not_converged,
2,1,5,1,0,1,52,4777.1948910533,4806.394700311582,-2378.59744552665,False,not_converged,
3,2,2,1,0,1,52,4810.686456566547,4834.162248031593,-2397.3432282832737,False,not_converged,
6,1,0,1,0,1,52,4845.338091695488,4871.617920027941,-2413.669045847744,False,not_converged,
0,2,0,1,0,1,52,4852.694257187803,4861.540536858937,-2423.3471285939013,False,not_converged,
6,0,1,1,0,1,52,4874.106187318841,4903.378724170413,-2427.0530936594205,False,not_converged,
3,1,3,1,0,1,52,4899.876917985895,4926.287183384071,-2440.9384589929473,False,not_converged,
1,0,6,1,0,1,52,4903.535596322923,4932.735405581205,-2441.7677981614615,False,not_converged,
5,2,0,1,0,1,52,4949.489327063169,4972.849174469794,-2466.7446635315846,False,not_converged,
4,0,4,1,0,1,52,4953.652322082968,4985.931535347405,-2465.826161041484,False,not_converged,
1,2,5,1,0,1,52,4977.791007749167,5004.004901720791,-2479.8955038745835,False,not_converged,
5,0,4,1,0,1,52,4990.887561125326,5026.101248322894,-2483.443780562663,False,not_converged,
3,1,4,1,0,1,52,4997.4170986329555,5026.689635484528,-2488.7085493164777,False,not_converged,
6,0,3,1,0,1,52,4997.8565970603995,5032.983641282286,-2486.9282985301998,False,not_converged,
2,2,2,1,0,1,52,5025.260632959125,5045.80195049104,-2505.6303164795627,False,not_converged,
5,0,0,1,0,1,52,5030.616038454402,5054.091829919447,-2507.308019227201,False,not_converged,
4,2,5,1,0,1,52,5034.08595219621,5069.0378108250425,-2505.042976098105,False,not_converged,
5,2,1,1,0,1,52,5046.435639793501,5072.7154681259535,-2514.2178198967504,False,not_converged,
3,0,3,1,0,1,52,5054.896891321101,5081.371673124585,-2518.4484456605505,False,not_converged,
0,2,1,1,0,1,52,5061.720884658609,5073.487454349046,-2526.8604423293045,False,not_converged,
2,1,1,1,0,1,52,5068.123229751483,5085.815789093753,-2528.0616148757417,False,not_converged,
1,1,6,1,0,1,52,5073.940294162041,5103.066843019402,-2526.9701470810205,False,not_converged,
0,2,4,1,0,1,52,5091.853873470172,5112.293739950969,-2538.926936735086,False,not_converged,
2,0,0,1,0,1,52,5095.588063820182,5110.367199108188,-2542.794031910091,False,not_converged,
3,0,0,1,0,1,52,5103.341449285534,5121.034008627803,-2545.670724642767,False,not_converged,
3,0,2,1,0,1,52,5119.75619376645,5143.346272889476,-2551.878096883225,False,not_converged,
1,0,3,1,0,1,52,5160.727647688927,5181.319144647193,-2573.3638238444637,False,not_converged,
2,2,6,1,0,1,52,5163.905818548348,5195.863841111171,-2570.952909274174,False,not_converged,
3,0,1,1,0,1,52,5173.008569818435,5193.649889051082,-2579.5042849092174,False,not_converged,
4,1,3,1,0,1,52,5204.627725000709,5233.972464332016,-2592.3138625003544,False,not_converged,
0,1,6,1,0,1,52,5207.1047022826315,5233.318596254256,-2594.5523511413157,False,not_converged,
3,1,5,1,0,1,52,5209.590910679441,5241.71070086355,-2593.7954553397203,False,not_converged,
4,1,1,1,0,1,52,5228.118082313931,5251.593873778977,-2606.0590411569656,False,not_converged,
2,1,2,1,0,1,52,5259.129686963043,5279.721183921309,-2622.5648434815216,False,not_converged,
0,1,0,1,0,1,52,5270.935304756359,5279.802785929163,-2632.4676523781795,False,not_converged,
1,0,0,1,0,1,52,5289.535946054617,5301.387324575657,-2640.7679730273085,False,not_converged,
2,1,3,1,0,1,52,5294.44066869501,5317.916460160055,-2639.220334347505,False,not_converged,
4,1,0,1,0,1,52,5300.485435054654,5321.026752586568,-2643.242717527327,False,not_converged,
4,1,2,1,0,1,52,5310.953255847195,5337.363521245371,-2646.4766279235973,False,not_converged,
0,1,1,1,0,1,52,5333.624542868925,5345.419582430438,-2662.8122714344627,False,not_converged,
2,1,0,1,0,1,52,5337.277799197902,5352.021598649792,-2663.638899598951,False,not_converged,
6,1,1,1,0,1,52,5339.040774807843,5368.240584066125,-2659.5203874039216,False,not_converged,
1,1,0,1,0,1,52,5339.3428282793575,5351.1661365097625,-2665.6714141396787,False,not_converged,
5,1,2,1,0,1,52,5375.671347102298,5404.94388395387,-2677.835673551149,False,not_converged,
4,1,6,1,0,1,52,5392.84458369102,5430.7090972055885,-2683.42229184551,False,not_converged,
0,1,3,1,0,1,52,5411.887847150792,5429.494690749577,-2699.943923575396,False,not_converged,
0,1,2,1,0,1,52,5441.793834892909,5456.502047005955,-2715.8969174464546,False,not_converged,
5,0,1,1,0,1,52,5458.559601338259,5484.9698667364355,-2720.2798006691296,False,not_converged,
3,0,6,1,0,1,52,5603.143026062709,5638.182797172647,-2789.5715130313547,False,not_converged,
5,0,3,1,0,1,52,5628.644196595232,5660.923409859669,-2803.322098297616,False,not_converged,
2,0,2,1,0,1,52,5638.955562401055,5659.596881633703,-2812.4777812005277,False,not_converged,
6,1,2,1,0,1,52,5659.478893622278,5691.598683806387,-2818.739446811139,False,not_converged,
1,1,2,1,0,1,52,5667.293602362916,5684.943456898573,-2827.646801181458,False,not_converged,
1,1,3,1,0,1,52,5757.272135325953,5777.813452857868,-2871.6360676629765,False,not_converged,
2,2,0,1,0,1,52,5765.12795797428,5779.8361700873265,-2877.56397898714,False,not_converged,
1,2,6,1,0,1,52,5820.08560281143,5849.138350595815,-2900.042801405715,False,not_converged,
6,0,4,1,0,1,52,5887.055469391301,5925.109767298344,-2930.5277346956505,False,not_converged,
0,1,5,1,0,1,52,5979.689633060867,6003.049480467492,-2981.8448165304335,False,not_converged,
2,1,6,1,0,1,52,5983.284224179199,6015.323427922295,-2980.6421120895993,False,not_converged,
1,0,4,1,0,1,52,6005.708448289139,6029.184239754184,-2994.8542241445693,False,not_converged,
6,1,6,1,0,1,52,6067.127381265332,6110.817204551373,-3018.563690632666,False,not_converged,
0,1,4,1,0,1,52,6068.537164420522,6089.027940216622,-3027.268582210261,False,not_converged,
1,0,5,1,0,1,52,6089.559869519942,6115.905152686357,-3035.779934759971,False,not_converged,
3,1,0,1,0,1,52,6154.047230476534,6171.697085012191,-3071.023615238267,False,not_converged,
5,1,6,1,0,1,52,6168.278163457807,6209.0553318581115,-3070.1390817289034,False,not_converged,
5,1,0,1,0,1,52,6234.7425684178,6258.160597899057,-3109.3712842089,False,not_converged,
3,1,6,1,0,1,52,6257.476189704054,6292.428048332887,-3116.738094852027,False,not_converged,
4,2,2,1,0,1,52,6317.518975821193,6343.864258987607,-3149.7594879105964,False,not_converged,
1,1,5,1,0,1,52,6443.992536921327,6470.27236525378,-3212.9962684606635,False,not_converged,
4,1,5,1,0,1,52,6640.454291372559,6675.494062482497,-3308.2271456862795,False,not_converged,
0,2,6,1,0,1,52,7795.971460910652,7822.1189339165985,-3888.985730455326,False,not_converged,
6,2,5,1,0,1,52,8038.7706159596455,8079.54778435995,-4005.3853079798228,False,not_converged,
5,2,5,1,0,1,52,8159.795917103319,8197.660430617887,-4066.8979585516595,False,not_converged,
0,0,3,1,0,1,52,8616.656054169955,8634.30590870561,-4302.328027084977,False,not_converged,
0,0,4,1,0,1,52,8793.276452748214,8813.81777028013,-4389.638226374107,False,not_converged,
0,0,2,1,0,1,52,9173.154453309118,9187.89825276101,-4581.577226654559,False,not_converged,
0,0,1,1,0,1,52,9625.258849934515,9637.08215816492,-4808.629424967257,False,not_converged,
